Year,Month,Production,Date
2011,October,182977,2011-10-01
2011,November,181157,2011-11-01
2011,December,189487,2011-12-01
2012,January,191472,2012-01-01
2012,February,181783,2012-02-01
2012,March,196138,2012-03-01
2012,April,189601,2012-04-01
2012,May,197456,2012-05-01
2012,June,188262,2012-06-01
2012,July,199368,2012-07-01
2012,August,196867,2012-08-01
2012,September,197942,2012-09-01
2012,October,216057,2012-10-01
2012,November,212472,2012-11-01
2012,December,220282,2012-12-01
2013,January,219570,2013-01-01
2013,February,200071,2013-02-01
2013,March,223644,2013-03-01
2013,April,221205,2013-04-01
2013,May,227101,2013-05-01
2013,June,218314,2013-06-01
2013,July,233174,2013-07-01
2013,August,233562,2013-08-01
2013,September,235142,2013-09-01
2013,October,240567,2013-10-01
2013,November,237565,2013-11-01
2013,December,245904,2013-12-01
2014,January,250240,2014-01-01
2014,February,228166,2014-02-01
2014,March,257019,2014-03-01
2014,April,255597,2014-04-01
2014,May,267731,2014-05-01
2014,June,262026,2014-06-01
2014,July,273952,2014-07-01
2014,August,276513,2014-08-01
2014,September,272111,2014-09-01
2014,October,286760,2014-10-01
2014,November,279200,2014-11-01
2014,December,295914,2014-12-01
2015,January,290631,2015-01-01
2015,February,265886,2015-02-01
2015,March,296825,2015-03-01
2015,April,289449,2015-04-01
2015,May,293362,2015-05-01
2015,June,280425,2015-06-01
2015,July,292432,2015-07-01
2015,August,291333,2015-08-01
2015,September,284079,2015-09-01
2015,October,291157,2015-10-01
2015,November,279779,2015-11-01
2015,December,287309,2015-12-01
2016,January,285322,2016-01-01
2016,February,262843,2016-02-01
2016,March,282290,2016-03-01
2016,April,266327,2016-04-01
2016,May,273959,2016-05-01
2016,June,260338,2016-06-01
2016,July,268667,2016-07-01
2016,August,269463,2016-08-01
2016,September,256351,2016-09-01
2016,October,273009,2016-10-01
2016,November,267184,2016-11-01
2016,December,273366,2016-12-01
2017,January,275075,2017-01-01
2017,February,255099,2017-02-01
2017,March,284185,2017-03-01
2017,April,273051,2017-04-01
2017,May,284812,2017-05-01
2017,June,273338,2017-06-01
2017,July,286663,2017-07-01
2017,August,286690,2017-08-01
2017,September,285423,2017-09-01
2017,October,299707,2017-10-01
2017,November,302592,2017-11-01
2017,December,309612,2017-12-01
2018,January,310059,2018-01-01
2018,February,287865,2018-02-01
2018,March,324478,2018-03-01
2018,April,314838,2018-04-01
2018,May,323388,2018-05-01
2018,June,319207,2018-06-01
2018,July,337928,2018-07-01
2018,August,353226,2018-08-01
2018,September,343383,2018-09-01
2018,October,356986,2018-10-01
2018,November,357328,2018-11-01
2018,December,371522,2018-12-01
2019,January,368054,2019-01-01
2019,February,326819,2019-02-01
2019,March,369203,2019-03-01
2019,April,364293,2019-04-01
2019,May,376738,2019-05-01
2019,June,366642,2019-06-01
2019,July,368952,2019-07-01
2019,August,387024,2019-08-01
2019,September,377681,2019-09-01
2019,October,396984,2019-10-01
2019,November,389809,2019-11-01
2019,December,402393,2019-12-01
2020,January,398392,2020-01-01
2020,February,372480,2020-02-01
2020,March,396682,2020-03-01
2020,April,357336,2020-04-01
2020,May,301133,2020-05-01
2020,June,313381,2020-06-01
2020,July,341244,2020-07-01
2020,August,328128,2020-08-01
2020,September,328025,2020-09-01
2020,October,324544,2020-10-01
2020,November,336286,2020-11-01
2020,December,346553,2020-12-01
2021,January,345713,2021-01-01
2021,February,278271,2021-02-01
2021,March,352545,2021-03-01
2021,April,340585,2021-04-01
2021,May,354103,2021-05-01
2021,June,341813,2021-06-01
2021,July,353905,2021-07-01
2021,August,350736,2021-08-01
2021,September,328715,2021-09-01
2021,October,360746,2021-10-01
2021,November,356024,2021-11-01
2021,December,364322,2021-12-01
2022,January,354716,2022-01-01
2022,February,321080,2022-02-01
2022,March,368134,2022-03-01
2022,April,354365,2022-04-01
2022,May,363992,2022-05-01
2022,June,357385,2022-06-01
2022,July,371739,2022-07-01
2022,August,375798,2022-08-01
2022,September,373159,2022-09-01
2022,October,385369,2022-10-01
2022,November,374003,2022-11-01
2022,December,377429,2022-12-01
2023,January,390928,2023-01-01
2023,February,352534,2023-02-01
2023,March,397280,2023-03-01
2023,April,380410,2023-04-01
2023,May,394619,2023-05-01
2023,June,385967,2023-06-01
2023,July,400994,2023-07-01
2023,August,404469,2023-08-01
2023,September,395300,2023-09-01
2023,October,407615,2023-10-01
2023,November,398433,2023-11-01
2023,December,412547,2023-12-01
2024,January,389161,2024-01-01
2024,February,379960,2024-02-01
2024,March,408294,2024-03-01
2024,April,397459,2024-04-01
2024,May,409235,2024-05-01
2024,June,397196,2024-06-01
2024,July,408950,2024-07-01
2024,August,414270,2024-08-01
2024,September,395541,2024-09-01
2024,October,416953,2024-10-01
2024,November,400561,2024-11-01
2024,December,416988,2024-12-01
2025,January,407537,2025-01-01
2025,February,0,2025-02-01
2025,March,0,2025-03-01
2025,April,0,2025-04-01
2025,May,0,2025-05-01
2025,June,0,2025-06-01
2025,July,0,2025-07-01
2025,August,0,2025-08-01
2025,September,0,2025-09-01
2025,October,0,2025-10-01
2025,November,0,2025-11-01
2025,December,0,2025-12-01
