Year,Month,Production,Year_part,Month_part,Oil Production - Multiplicative Decompose,Oil Production - Additive Decompose
2022,January,354716,2022,1,354716,354716
2022,February,321080,2022,2,321080,321080
2022,March,368134,2022,3,368134,368134
2022,April,354365,2022,4,354365,354365
2022,May,363992,2022,5,363992,363992
2022,June,357385,2022,6,357385,357385
2022,July,371739,2022,7,371739,371739
2022,August,375798,2022,8,375798,375798
2022,September,373159,2022,9,373159,373159
2022,October,385369,2022,10,385369,385369
2022,November,374003,2022,11,374003,374003
2022,December,377429,2022,12,377429,377429
2023,January,390928,2023,1,390928,390928
2023,February,352534,2023,2,352534,352534
2023,March,397280,2023,3,397280,397280
2023,April,380410,2023,4,380410,380410
2023,May,394619,2023,5,394619,394619
2023,June,385967,2023,6,385967,385967
2023,July,400994,2023,7,400994,400994
2023,August,404469,2023,8,404469,404469
2023,September,395300,2023,9,395300,395300
2023,October,407615,2023,10,407615,407615
2023,November,398433,2023,11,398433,398433
2023,December,412547,2023,12,412547,412547
2024,January,389161,2024,1,389161,389161
2024,February,379960,2024,2,379960,379960
2024,March,408294,2024,3,408294,408294
2024,April,397459,2024,4,397459,397459
2024,May,409235,2024,5,409235,409235
2024,June,397196,2024,6,397196,397196
2024,July,408950,2024,7,408950,408950
2024,August,414270,2024,8,414270,414270
2024,September,395541,2024,9,395541,395541
2024,October,416953,2024,10,416953,416953
2024,November,400561,2024,11,400561,400561
2024,December,416988,2024,12,416988,416988
2025,January,407537,2025,1,407537,407537
